t;Demand;Demand sorted;PV output;PV output sorted;imports;imports sorted
1;6674,858897940226;9197,612665895542;0,0;9717,774986773782;500,0;2627,4798971993723
2;6582,082879695621;9165,089889055618;0,0;9662,093300174281;1000,0;2627,4798971993723
3;6396,249719957463;9162,955767843128;0,0;9617,023220222098;1136,8817488418622;2627,4798971993723
4;6214,917299763112;9149,953568003386;0,0;9590,041727751592;636,8817488418622;2627,4798971993723
5;6136,550469440192;9141,379013652344;0,0;9581,814446374603;1127,4798971993723;2627,4798971993723
6;6157,251669770659;9138,320890103818;0,0;9533,630737995018;1627,4798971993723;2627,4798971993723
7;6284,2268233482855;9136,643966355874;1775,2833672388047;9532,083773982937;2127,4798971993723;2627,4798971993723
8;6364,357911832926;9135,169942282684;3885,9315330686454;9531,73119263092;2627,4798971993723;2627,4798971993723
9;6601,1787130642215;9135,005069449164;4317,572056851872;9530,810779928894;2627,4798971993723;2627,4798971993723
10;6845,952583979686;9134,23007983968;5177,92543334755;9530,672553052935;2627,4798971993723;2627,4798971993723
11;7067,121471390833;9133,486441404406;5501,286533348419;9529,439774930752;2627,4798971993723;2627,4798971993723
12;7156,8492537127795;9132,006803712264;5047,48695771033;9529,43206426961;2627,4798971993723;2627,4798971993723
13;7148,87053659254;9129,456346752197;4080,326679184137;9511,853237417112;2627,4798971993723;2627,4798971993723
14;7167,798776418782;9127,338439905487;2863,3338230907866;9509,600351487336;2627,4798971993723;2627,4798971993723
15;7182,890728530536;9126,282873589204;2100,559029883981;9505,067000006491;2317,023670491043;2627,4798971993723
16;7185,690198188258;9125,458097722072;1115,2559373532883;9502,711096454972;1817,023670491043;2627,4798971993723
17;7228,711013340684;9124,620853163873;31,297692589679304;9502,056147984813;1317,023670491043;2627,4798971993723
18;7270,715739470665;9123,98686490213;0,0;9495,121990373615;817,023670491043;2627,4798971993723
19;7296,662418550642;9122,965222274332;0,0;9494,677614712413;317,02367049104305;2627,4798971993723
20;7418,599221683248;9122,842888438288;0,0;9487,469572634716;0,0;2627,4798971993723
21;7484,116963080223;9120,064428648007;0,0;9484,64501926768;0,0;2627,4798971993723
22;7490,478597297629;9117,519262675656;0,0;9479,64498498848;0,0;2627,4798971993723
23;7244,391941671865;9114,496049363328;0,0;9473,83232375864;0,0;2627,4798971993723
24;6964,448581888992;9114,28103300406;0,0;9473,401856978477;0,0;2627,4798971993723
25;6661,83637115107;9113,299236955705;0,0;9466,679011919245;0,0;2627,4798971993723
26;6448,652328849889;9113,07701381592;0,0;9459,295491555415;0,0;2627,4798971993723
27;6303,57535949006;9108,76619668373;0,0;9456,091857120908;0,0;2627,4798971993723
28;6202,073677627915;9108,179792761512;0,0;9455,90376129139;0,0;2627,4798971993723
29;6170,8038316244565;9107,324613412757;0,0;9454,638265617852;127,47989719937232;2627,4798971993723
30;6331,693354315279;9106,821597489949;0,0;9448,907884245806;627,4798971993723;2627,4798971993723
31;6754,745605229055;9106,299670814948;1007,1023579119629;9444,931211649551;1127,4798971993723;2627,4798971993723
32;7209,465189481402;9103,610536385484;2211,360169177542;9443,666434268678;1627,4798971993723;2627,4798971993723
33;7886,111675277669;9103,55346081476;3672,0443712832835;9443,661560228902;2127,4798971993723;2627,4798971993723
34;8252,843313286747;9101,01826556349;4802,477394108021;9437,00052058201;2627,4798971993723;2627,4798971993723
35;8453,685449198083;9098,947475404193;5280,026217701513;9430,892802920007;2627,4798971993723;2627,4798971993723
36;8527,149245358281;9090,310329175925;5253,5688108720815;9428,691732416277;2627,4798971993723;2627,4798971993723
37;8444,845695408249;9089,482181983385;4428,99551587618;9427,237337110966;2627,4798971993723;2627,4798971993723
38;8519,78346046874;9089,442281216097;2839,3866403257816;9422,412313849147;2627,4798971993723;2627,4798971993723
39;8619,548356409983;9087,580348615033;1845,4511190296923;9417,878076416502;2361,378723017051;2627,4798971993723
40;8617,647436852963;9085,500775275836;855,1621324380266;9417,324915070047;1861,3787230170508;2627,4798971993723
41;8621,119220869095;9084,409659140261;25,073550091202915;9416,383038894895;1361,3787230170508;2627,4798971993723
42;8503,494820828828;9081,09455702993;0,0;9414,945521225116;861,3787230170508;2627,4798971993723
43;8249,522199802803;9077,593036511922;0,0;9406,017879189423;361,3787230170508;2627,4798971993723
44;8246,766350814456;9077,168277795516;0,0;9404,266241725476;0,0;2627,4798971993723
45;8192,599041454978;9076,757148486087;0,0;9400,246530444112;0,0;2627,4798971993723
46;8082,47015723238;9076,026911881927;0,0;9387,721413317831;0,0;2627,4798971993723
47;7755,776112515981;9075,677387813448;0,0;9387,645848423439;0,0;2627,4798971993723
48;7448,048260358035;9075,434662547583;0,0;9383,53136848387;0,0;2627,4798971993723
49;7076,730662432091;9074,107379667863;0,0;9382,30216558288;0,0;2627,4798971993723
50;6828,593544762256;9071,788542487328;0,0;9381,689300771337;0,0;2627,4798971993723
51;6689,972952561577;9071,536419365944;0,0;9379,564243910077;0,0;2627,4798971993723
52;6610,816607683387;9068,543792360873;0,0;9378,678689176222;0,0;2627,4798971993723
53;6555,94563823457;9067,388343227743;0,0;9377,017821418525;0,0;2627,4798971993723
54;6674,815498404697;9066,812013767953;0,0;9374,24088448551;0,0;2627,4798971993723
55;7077,612519241574;9065,984905579342;440,7703963805022;9371,86504145282;344,57655406993445;2627,4798971993723
56;7471,335464217266;9065,813501277516;906,8980266817042;9371,483354533295;844,5765540699344;2627,4798971993723
57;8125,165521147053;9064,734109943098;1866,1500816177654;9369,474334749204;1344,5765540699344;2627,4798971993723
58;8457,8324083862;9064,228568821305;2690,090871718389;9365,99298935554;1844,5765540699344;2627,4798971993723
59;8698,341700473155;9064,13857851562;3578,3453452806148;9364,178010475047;2344,5765540699344;2627,4798971993723
60;8754,972477897798;9063,106745924872;3656,116213406607;9363,132768982763;2627,4798971993723;2627,4798971993723
61;8680,894328110577;9060,851022336708;3359,5085609629723;9353,977354628132;2449,9221000580287;2627,4798971993723
62;8774,782766009599;9060,375146230701;2703,188513523337;9347,451586331294;1949,9221000580287;2627,4798971993723
63;8812,144229694697;9060,06205207139;1866,9665189668392;9347,390655347726;1449,9221000580287;2627,4798971993723
64;8792,265165989775;9059,460615129621;826,8052415272156;9346,591665955348;949,9221000580287;2627,4798971993723
65;8806,416326574326;9059,094708682322;27,55447235775793;9341,881094086852;449,9221000580287;2627,4798971993723
66;8695,254698278153;9059,00636439828;0,0;9339,179306623657;0,0;2627,4798971993723
67;8394,382400098562;9058,86670589177;0,0;9337,806896073685;0,0;2627,4798971993723
68;8370,956211294846;9058,527735673895;0,0;9333,17146367416;0,0;2627,4798971993723
69;8324,090559745555;9058,50352330254;0,0;9327,665838674764;0,0;2627,4798971993723
70;8189,305353995281;9058,293683100845;0,0;9325,427095286028;0,0;2627,4798971993723
71;7831,3667169973805;9054,833432367144;0,0;9324,773368615915;0,0;2627,4798971993723
72;7476,538644298845;9053,424364588898;0,0;9311,130360592988;0,0;2627,4798971993723
73;7125,844883217249;9053,081345704592;0,0;9310,021630723188;0,0;2627,4798971993723
74;6897,59024508985;9052,517806256252;0,0;9298,649936000147;0,0;2627,4798971993723
75;6732,909740459354;9050,363579737521;0,0;9297,94366329101;0,0;2627,4798971993723
76;6618,090435783127;9049,679534784727;0,0;9293,646708274271;0,0;2627,4798971993723
77;6573,555877982672;9049,376573793637;0,0;9290,078751196048;0,0;2627,4798971993723
78;6701,843271645396;9049,33166065782;0,0;9288,585795618423;253,71773619221244;2627,4798971993723
79;7086,054558609483;9049,169847999205;603,7116211354466;9287,363153806205;753,7177361922124;2627,4798971993723
80;7480,551439321277;9048,818365051737;1603,712315895273;9286,379161925732;1253,7177361922124;2627,4798971993723
81;8083,200267094088;9048,112940193374;2631,878584459324;9285,497815795892;1753,7177361922124;2627,4798971993723
82;8476,590374216581;9046,94119746425;3549,9252254934645;9282,564614915;2253,717736192212;2627,4798971993723
83;8703,129421129324;9046,353156794603;4116,04887865085;9275,551982035051;2627,4798971993723;2627,4798971993723
84;8767,810042209769;9046,23491584345;4601,474109954728;9275,50711989698;2627,4798971993723;2627,4798971993723
85;8651,6620669322;9045,265539070611;4697,469940588632;9274,946942872913;2627,4798971993723;2627,4798971993723
86;8714,661699066124;9045,090440379034;4093,474994079487;9274,582700227973;2627,4798971993723;2627,4798971993723
87;8773,75851358604;9044,157436579137;2851,8088091759114;9273,69413468002;2259,7418379124197;2627,4798971993723
88;8705,657978623129;9041,596380670659;1331,6279217797592;9270,419114058868;1759,7418379124197;2627,4798971993723
89;8662,147393023408;9041,52992427469;55,19699822285676;9269,015027157495;1259,7418379124197;2627,4798971993723
90;8487,549322708664;9041,007210005682;0,0;9268,94998828254;759,7418379124197;2627,4798971993723
91;8194,340665417829;9040,294890127976;0,0;9267,854951280757;259,74183791241967;2627,4798971993723
92;8183,973252569005;9038,249985720018;0,0;9267,144863319394;0,0;2627,4798971993723
93;8104,906777094327;9037,275283416708;0,0;9266,415067229706;0,0;2627,4798971993723
94;7993,56681353587;9035,991618039416;0,0;9260,558503619062;0,0;2627,4798971993723
95;7762,069147601513;9035,368412126652;0,0;9260,074270637637;0,0;2627,4798971993723
96;7506,352612242022;9035,198356732308;0,0;9257,423278942875;0,0;2627,4798971993723
97;7196,894985063346;9032,379068654272;0,0;9255,639725156305;0,0;2627,4798971993723
98;6951,096521697507;9031,49296181625;0,0;9254,552318824524;0,0;2627,4798971993723
99;6762,152495168976;9028,852980216332;0,0;9244,620375354076;0,0;2627,4798971993723
100;6630,385506797491;9025,650494094014;0,0;9244,015008631268;0,0;2627,4798971993723
101;6595,219002516634;9025,228363430204;0,0;9243,343356140089;0,0;2627,4798971993723
102;6632,000473246807;9024,471281894434;0,0;9235,982762763177;280,8183744416838;2627,4798971993723
103;6802,136783250501;9024,448764172881;558,3783389179256;9233,425556946431;780,8183744416838;2627,4798971993723
104;6993,2045287769815;9024,206257935866;1638,3785139354325;9230,92459985521;1280,8183744416838;2627,4798971993723
105;7461,745732624272;9024,162992704445;2941,111829727927;9226,76335805884;1780,8183744416838;2627,4798971993723
106;7860,992081308281;9023,276302186086;4174,335208938485;9225,875578948278;2280,8183744416838;2627,4798971993723
107;8102,690340542723;9022,802077055103;5233,8912513424275;9225,747763773208;2627,4798971993723;2627,4798971993723
108;8167,177542392295;9021,762557401853;5593,8361140749885;9221,237001035659;2627,4798971993723;2627,4798971993723
109;8059,317611868313;9021,328413023872;5415,512746431465;9220,384120368004;2627,4798971993723;2627,4798971993723
110;8001,289235636334;9020,795104932871;4223,784388727141;9217,001349879969;2627,4798971993723;2627,4798971993723
111;7946,416710433293;9020,40066132756;2615,5702101282327;9215,120564559109;2627,4798971993723;2627,4798971993723
112;7782,903757653692;9020,28773651056;1117,1807107689528;9211,325557441083;2294,380750788785;2627,4798971993723
113;7712,541551796143;9019,899417360182;59,076493599874965;9204,47100683272;1794,3807507887852;2627,4798971993723
114;7606,749088878721;9019,40791105761;0,0;9197,471690154489;1294,3807507887852;2627,4798971993723
115;7561,77232954436;9018,766634194282;0,0;9192,85275264897;794,3807507887852;2627,4798971993723
116;7722,184128200864;9018,544798085612;0,0;9190,407344800024;294,38075078878524;2627,4798971993723
117;7759,185015287381;9018,063619230525;0,0;9187,058355340503;0,0;2627,4798971993723
118;7720,544465290883;9018,032337017297;0,0;9186,236046282736;0,0;2627,4798971993723
119;7526,540680640085;9017,732850033397;0,0;9184,016374238781;0,0;2627,4798971993723
120;7338,826650068568;9017,694071421882;0,0;9172,380228509799;0,0;2627,4798971993723
121;7060,8396962460665;9015,764367402211;0,0;9170,064488252487;0,0;2627,4798971993723
122;6838,4655954190675;9015,649916070886;0,0;9154,506112612185;0,0;2627,4798971993723
123;6665,349184590769;9015,368137807453;0,0;9151,040164883027;0,0;2627,4798971993723
124;6540,764983804566;9014,65617741634;0,0;9149,91592405251;0,0;2627,4798971993723
125;6477,950861355094;9014,589121497196;0,0;9147,542084124912;0,0;2627,4798971993723
126;6494,929163170536;9014,442158856025;0,0;9140,939444593972;171,55498586649242;2627,4798971993723
127;6633,961429754777;9013,686187750234;859,0298841156808;9131,241250561476;671,5549858664924;2627,4798971993723
128;6708,515381467688;9013,593475815762;1781,486333238146;9131,217890806898;1171,5549858664924;2627,4798971993723
129;6945,178288595515;9012,826936125508;2255,5245137646602;9125,748686320481;1671,5549858664924;2627,4798971993723
130;7221,679171922762;9012,280373288646;2084,7501430076823;9124,862116055705;1759,0055033307374;2627,4798971993723
131;7422,368271463911;9011,56792303153;1906,3924270033988;9120,15240018505;1490,340863624544;2627,4798971993723
132;7479,85730718712;9011,445306795154;1884,4427459710446;9115,795758156364;1473,1814865085419;2627,4798971993723
133;7442,522696585366;9011,333323457426;1855,6301607066655;9110,692873657079;1450,6569671084792;2627,4798971993723
134;7488,58399909905;9011,034805081807;1557,1696514497114;9109,05013947967;1217,3325545566468;2627,4798971993723
135;7524,5095729895575;9010,637950877639;1193,1070892002056;9105,616269567483;932,7230975787076;2627,4798971993723
136;7531,3117902988315;9010,09524442671;626,1119221816324;9103,901054911941;489,4690986034502;2627,4798971993723
137;7514,738877232906;9009,896642482612;42,96236607739116;9100,142039598599;33,58624848493421;2627,4798971993723
138;7477,598229172122;9008,893509275098;0,0;9100,127719785094;0,0;2627,4798971993723
139;7477,328427922677;9008,438763792648;0,0;9095,906154977909;0,0;2627,4798971993723
140;7655,0813297812165;9007,790854292347;0,0;9095,37897665895;0,0;2627,4798971993723
141;7732,462806110718;9007,182258355535;0,0;9094,578232223907;0,0;2627,4798971993723
142;7763,617908803561;9006,815661417097;0,0;9093,392026883832;0,0;2627,4798971993723
143;7514,0382157768045;9006,244578778651;0,0;9092,80507552632;0,0;2627,4798971993723
144;7219,456120289797;9005,30667188441;0,0;9091,475714692235;0,0;2627,4798971993723
145;6891,244216090552;9005,197683204487;0,0;9084,641782235334;0,0;2627,4798971993723
146;6679,81416095852;9005,074300589924;0,0;9082,349654110647;0,0;2627,4798971993723
147;6543,125558027236;9005,022553569552;0,0;9080,771191458005;0,0;2627,4798971993723
148;6458,674148093636;9004,354127998538;0,0;9077,947314952668;0,0;2627,4798971993723
149;6439,921463118529;9003,63881204916;0,0;9077,386789951392;0,0;2627,4798971993723
150;6596,33052635939;9002,915997813874;0,0;9076,57245910192;152,8363651149657;2627,4798971993723
151;7056,909656498842;9001,236163855157;835,0856726163919;9072,358524566675;652,8363651149657;2627,4798971993723
152;7541,707957537308;9000,716866245619;1851,0280219823424;9071,412990448562;1152,8363651149657;2627,4798971993723
153;8207,391406212462;9000,468645872936;2639,6640013219894;9061,252596042788;1652,8363651149657;2627,4798971993723
154;8591,645973739347;8999,89280091257;3178,3662223590823;9052,82335167118;2152,8363651149657;2627,4798971993723
155;8753,794993894222;8999,273442923197;3282,782279277741;9050,664618527499;2627,4798971993723;2627,4798971993723
156;8782,729786345353;8998,470791262669;3256,498910647885;9041,565783158643;2545,7997682649752;2627,4798971993723
157;8660,673899460313;8997,911174337803;2981,9077056182;9039,830066265771;2250,824711457789;2627,4798971993723
158;8748,089942849054;8997,579424503905;2432,10577567537;9038,35492902049;1750,8247114577887;2627,4798971993723
159;8804,722965207386;8997,242913176771;1571,6522797574246;9036,576396132526;1250,8247114577887;2627,4798971993723
160;8788,645541587599;8997,055462316155;720,4856183054528;9035,717548995233;750,8247114577887;2627,4798971993723
