index;unit
Energy produced in Tennant Creek;GWh/a
Energy consumed in Australia;GWh/a
Energy sent to Singapore (start of cable);GWh/a
Energy consumed in Singapore;GWh/a
Energy demand in Singapore;GWh/a
Installed PV capacity (total);GW
Installed battery storage capacity (total);GWh
Installed cable capacity (total);GW
Cable length;km
Allocation factor for Singapore;dimensionless
PV capacity allocated to SG;GW
Battery storage capacity allocated to SG;GWh
Cable capacity allocated to SG;GW
Lifetime PV;a
Lifetime battery;a
Lifetime cable;a
