index;unit;jambi;m10_cab0;m10_cab1000;m10_cab2000;m10_cab3000;m10_cab3800;m10_cab4000;m10_cab5000;m20_cab0;m20_cab1000;m20_cab2000;m20_cab3000;m20_cab3800;m20_cab4000;m20_cab5000;m30_cab0;m30_cab1000;m30_cab2000;m30_cab3000;m30_cab3800;m30_cab4000;m30_cab5000;p0_cab0;p0_cab1000;p0_cab2000;p0_cab3000;p0_cab3800;p0_cab4000;p0_cab5000;p10_cab0;p10_cab1000;p10_cab2000;p10_cab3000;p10_cab3800;p10_cab4000;p10_cab5000;p20_cab0;p20_cab1000;p20_cab2000;p20_cab3000;p20_cab3800;p20_cab4000;p20_cab5000;p30_cab0;p30_cab1000;p30_cab2000;p30_cab3000;p30_cab3800;p30_cab4000;p30_cab5000
Energy produced abroad;GWh/a;15105,222940000001;15758,29823;16880,19466;18089,07875;19517,80701;20461,83833;20534,72382;21628,19312;15584,04994;16671,883009999998;17799,63195;19079,30432;20026,609930000002;20212,76564;21314,924759999998;15414,96132;16418,87186;17463,148830000002;18720,76583;19686,428359999998;19929,64637;20973,52424;15909,19849;17091,6075;18431,22588;19832,73537;20886,65347;20982,80209;22048,32877;16050,64008;17321,607989999997;18745,91858;20169,34601;21180,08828;21372,13346;22505,13304;16216,2956;17555,443010000006;19007,19568;20488,37693;21503,816619999998;21694,02249;22896,93788;16399,59173;17795,2255;19271,320780000002;20842,27792;21891,46525;22107,73885;23223,76814
Energy sent to Singapore (start of cable);GWh/a;13684,373937993003;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,89358448754;15700,94061525004;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,89358448754;15700,94061525004;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,89358448754;15700,94061525004;16358,624618538071;16527,305910789517;17397,164116620545;13461,59396;14170,09890526316;14915,893584487541;15700,940615250041;16358,624618538071;16527,305910789517;17397,164116620545
Energy demand in Singapore;GWh/a;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999;67307,96979999999
Installed PV capacity (total);GW;12,50423;11,01692;11,80126;12,64642;13,645270000000002;14,30526;14,35621;15,120679999999998;12,25699;13,11258;13,99957;15,00604;15,7511;15,897520000000002;16,76437;13,856;14,75838;15,69705;16,827479999999998;17,69548;17,914099999999994;18,85241;10,01018;10,75416;11,59706;12,4789;13,142029999999998;13,20253;13,87296;9,18107;9,90807;10,72278;11,53699;12,11514;12,225;12,87308;8,502839999999999;9,20501;9,96622;10,74286;11,27529;11,37502;12,00576;7,937489999999999;8,61298;9,32742;10,087769999999999;10,59559;10,70026;11,24043
Installed battery storage capacity (total);GWh;8,88894;7,80552;8,86045;10,52249;12,58822;18,07554;19,58295;26,02467;7,94728;8,977910000000003;10,67448;12,819469999999999;18,74618;19,906080000000006;26,19781;8,0977;9,14343;10,859860000000001;13,07516;19,23771;20,10136;26,43043;7,69787;8,751149999999999;10,36403;12,48909;17,32179;19,00521;25,77665;7,60905;8,65115;10,27432;12,370230000000001;17,117060000000002;18,48594;25,53804;7,5083699999999975;8,56805;10,24404;12,28864;16,778660000000002;18,1155;25,39088000000001;7,4182;8,488700000000001;10,19759;12,22073;16,239069999999998;17,62436;25,27114
Installed cable capacity (total);GW;4,33208;4,55774;3,99087;3,7559;3,6079800000000004;3,1530500000000004;3,05415;2,66416;4,57121;4,0128;3,78429;3,63602;3,1296500000000003;3,05567;2,67442;4,57865;4,03606;3,81798;3,65907;3,11546;3,06888;2,68798;4,548;3,96715;3,72937;3,5821199999999997;3,19293;3,06934;2,65219;4,53941;3,94225;3,69803;3,5597199999999996;3,189;3,0925;2,63816;4,5329700000000015;3,91596;3,6679;3,5394099999999997;3,19959;3,10797;2,6311;4,52196;3,8902300000000003;3,64281;3,51548;3,22959;3,13115;2,6248
System LCOE;$/kWh;74,32780981963299;74,5692665038606;84,29841779167731;92,93423638265793;101,60914945810772;108,37761340500276;109,95697255408821;117,53409276549002;76,3987355813843;86,26180070238873;95,03452487538854;103,86793631443031;110,72085536147013;112,34239705607641;120,05988666441696;78,7332126676327;88,74956689289421;97,68273056588316;106,72199548470114;113,7026608168473;115,38174020084615;123,25729308596677;73,08845055730681;82,70832383403726;91,22671430984093;99,76320515434713;106,47737793883068;108,03024764773102;115,48426303893659;71,86281684743372;81,39318869338412;89,80357153455549;98,23278508008127;104,85507869589613;106,4280422781375;113,77158171794987;70,83599809201199;80,28424875355549;88,5951339142902;96,93584259705305;103,49602835532265;105,06662655512156;112,3167644046218;69,96033540176694;79,33088919419465;87,55846281148716;95,82015058846716;102,3437705099226;103,90857418745085;111,06838281281811
Cable length;km;320,0;0,0;1000,0;2000,0;3000,0;3800,0;4000,0;5000,0;0,0;1000,0;2000,0;3000,0;3800,0;4000,0;5000,0;0,0;1000,0;2000,0;3000,0;3800,0;4000,0;5000,0;0,0;1000,0;2000,0;3000,0;3800,0;4000,0;5000,0;0,0;1000,0;2000,0;3000,0;3800,0;4000,0;5000,0;0,0;1000,0;2000,0;3000,0;3800,0;4000,0;5000,0;0,0;1000,0;2000,0;3000,0;3800,0;4000,0;5000,0
Allocation factor for Singapore;dimensionless;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
PV capacity allocated to SG;GW;12,50423;11,01692;11,80126;12,64642;13,645270000000002;14,30526;14,35621;15,120679999999998;12,25699;13,11258;13,99957;15,00604;15,7511;15,897520000000002;16,76437;13,856;14,75838;15,69705;16,827479999999998;17,69548;17,914099999999994;18,85241;10,01018;10,75416;11,59706;12,4789;13,142029999999998;13,20253;13,87296;9,18107;9,90807;10,72278;11,53699;12,11514;12,225;12,87308;8,502839999999999;9,20501;9,96622;10,74286;11,27529;11,37502;12,00576;7,937489999999999;8,61298;9,32742;10,087769999999999;10,59559;10,70026;11,24043
Battery storage capacity allocated to SG;GWh;8,88894;7,80552;8,86045;10,52249;12,58822;18,07554;19,58295;26,02467;7,94728;8,977910000000003;10,67448;12,819469999999999;18,74618;19,906080000000006;26,19781;8,0977;9,14343;10,859860000000001;13,07516;19,23771;20,10136;26,43043;7,69787;8,751149999999999;10,36403;12,48909;17,32179;19,00521;25,77665;7,60905;8,65115;10,27432;12,370230000000001;17,117060000000002;18,48594;25,53804;7,5083699999999975;8,56805;10,24404;12,28864;16,778660000000002;18,1155;25,39088000000001;7,4182;8,488700000000001;10,19759;12,22073;16,239069999999998;17,62436;25,27114
Cable capacity allocated to SG;GW;4,33208;4,55774;3,99087;3,7559;3,6079800000000004;3,1530500000000004;3,05415;2,66416;4,57121;4,0128;3,78429;3,63602;3,1296500000000003;3,05567;2,67442;4,57865;4,03606;3,81798;3,65907;3,11546;3,06888;2,68798;4,548;3,96715;3,72937;3,5821199999999997;3,19293;3,06934;2,65219;4,53941;3,94225;3,69803;3,5597199999999996;3,189;3,0925;2,63816;4,5329700000000015;3,91596;3,6679;3,5394099999999997;3,19959;3,10797;2,6311;4,52196;3,8902300000000003;3,64281;3,51548;3,22959;3,13115;2,6248
Lifetime PV;a;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0
Lifetime battery;a;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
Lifetime cable;a;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0;40,0
Energy consumed in Singapore;GWh/a;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396;13461,59396
