index,unit,m10_cab0,m10_cab1000,m10_cab2000,m10_cab3000,m10_cab3800,m10_cab4000,m10_cab5000,m20_cab0,m20_cab1000,m20_cab2000,m20_cab3000,m20_cab3800,m20_cab4000,m20_cab5000,m30_cab0,m30_cab1000,m30_cab2000,m30_cab3000,m30_cab3800,m30_cab4000,m30_cab5000,p0_cab0,p0_cab1000,p0_cab2000,p0_cab3000,p0_cab3800,p0_cab4000,p0_cab5000,p10_cab0,p10_cab1000,p10_cab2000,p10_cab3000,p10_cab3800,p10_cab4000,p10_cab5000,p20_cab0,p20_cab1000,p20_cab2000,p20_cab3000,p20_cab3800,p20_cab4000,p20_cab5000,p30_cab0,p30_cab1000,p30_cab2000,p30_cab3000,p30_cab3800,p30_cab4000,p30_cab5000,jambi
Energy produced abroad,GWh/a,15758.29823,16880.19466,18089.07875,19517.80701,20461.838330000002,20534.72382,21628.19312,15584.04994,16671.883009999998,17799.63195,19079.30432,20026.60993,20212.76564,21314.92476,15414.961319999999,16418.87186,17463.148830000002,18720.76583,19686.42836,19929.64637,20973.52424,15909.19849,17091.6075,18431.22588,19832.73537,20886.653469999997,20982.80209,22048.32877,16050.640080000001,17321.607989999997,18745.91858,20169.34601,21180.08828,21372.13346,22505.13304,16216.2956,17555.443010000006,19007.19568,20488.376930000002,21503.81662,21694.02249,22896.93788,16399.59173,17795.2255,19271.32078,20842.27792,21891.46525,22107.73885,23223.76814,15105.22294
Energy sent to Singapore (start of cable),GWh/a,13461.59396,14170.09890526316,14915.89358448754,15700.94061525004,16358.624618538071,16527.305910789517,17397.164116620545,13461.59396,14170.09890526316,14915.893584487541,15700.940615250041,16358.624618538071,16527.305910789517,17397.164116620545,13461.59396,14170.09890526316,14915.89358448754,15700.94061525004,16358.624618538071,16527.305910789517,17397.164116620545,13461.59396,14170.09890526316,14915.893584487541,15700.940615250041,16358.624618538071,16527.305910789517,17397.164116620545,13461.59396,14170.09890526316,14915.89358448754,15700.94061525004,16358.624618538071,16527.305910789517,17397.164116620545,13461.59396,14170.09890526316,14915.893584487541,15700.940615250041,16358.624618538071,16527.305910789517,17397.164116620545,13461.59396,14170.09890526316,14915.89358448754,15700.94061525004,16358.624618538071,16527.305910789517,17397.164116620545,13684.373937993003
Energy demand in Singapore,GWh/a,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999,67307.96979999999
Installed PV capacity (total),GW,11.016919999999999,11.801260000000001,12.646419999999999,13.645270000000002,14.30526,14.35621,15.120679999999998,12.25699,13.11258,13.99957,15.006039999999999,15.7511,15.897520000000002,16.76437,13.856,14.758379999999999,15.69705,16.827479999999998,17.69548,17.914099999999994,18.85241,10.01018,10.75416,11.59706,12.4789,13.142029999999998,13.20253,13.87296,9.18107,9.90807,10.72278,11.53699,12.11514,12.225,12.87308,8.502839999999999,9.205010000000001,9.96622,10.74286,11.27529,11.37502,12.00576,7.937489999999999,8.61298,9.32742,10.08777,10.59559,10.70026,11.24043,12.50423
Installed battery storage capacity (total),GWh,7.80552,8.86045,10.52249,12.58822,18.07554,19.58295,26.02467,7.94728,8.977910000000003,10.67448,12.81947,18.74618,19.906080000000006,26.19781,8.0977,9.14343,10.85986,13.07516,19.23771,20.10136,26.430429999999998,7.69787,8.751149999999999,10.36403,12.48909,17.32179,19.00521,25.77665,7.60905,8.65115,10.27432,12.37023,17.117060000000002,18.48594,25.53804,7.508369999999997,8.56805,10.24404,12.28864,16.778660000000002,18.1155,25.39088000000001,7.4182,8.488700000000001,10.19759,12.22073,16.239069999999998,17.62436,25.27114,8.88894
Installed cable capacity (total),GW,4.55774,3.9908699999999997,3.7559,3.60798,3.1530500000000004,3.05415,2.66416,4.57121,4.0128,3.78429,3.63602,3.1296500000000003,3.05567,2.67442,4.57865,4.03606,3.8179800000000004,3.65907,3.1154599999999997,3.06888,2.68798,4.548,3.96715,3.72937,3.58212,3.19293,3.06934,2.65219,4.53941,3.94225,3.69803,3.55972,3.1889999999999996,3.0925,2.63816,4.5329700000000015,3.9159599999999997,3.6679,3.53941,3.19959,3.10797,2.6311,4.52196,3.89023,3.64281,3.51548,3.22959,3.13115,2.6248,4.3320799999999995
Cable length,km,320.0,1000.0,2000.0,3000.0,3800.0,4000.0,5000.0,320.0,1000.0,2000.0,3000.0,3800.0,4000.0,5000.0,320.0,1000.0,2000.0,3000.0,3800.0,4000.0,5000.0,320.0,1000.0,2000.0,3000.0,3800.0,4000.0,5000.0,320.0,1000.0,2000.0,3000.0,3800.0,4000.0,5000.0,320.0,1000.0,2000.0,3000.0,3800.0,4000.0,5000.0,320.0,1000.0,2000.0,3000.0,3800.0,4000.0,5000.0,320.0
Allocation factor for Singapore,dimensionless,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PV capacity allocated to SG,GW,11.016919999999999,11.801260000000001,12.646419999999999,13.645270000000002,14.30526,14.35621,15.120679999999998,12.25699,13.11258,13.99957,15.006039999999999,15.7511,15.897520000000002,16.76437,13.856,14.758379999999999,15.69705,16.827479999999998,17.69548,17.914099999999994,18.85241,10.01018,10.75416,11.59706,12.4789,13.142029999999998,13.20253,13.87296,9.18107,9.90807,10.72278,11.53699,12.11514,12.225,12.87308,8.502839999999999,9.205010000000001,9.96622,10.74286,11.27529,11.37502,12.00576,7.937489999999999,8.61298,9.32742,10.08777,10.59559,10.70026,11.24043,12.50423
Battery storage capacity allocated to SG,GWh,7.80552,8.86045,10.52249,12.58822,18.07554,19.58295,26.02467,7.94728,8.977910000000003,10.67448,12.81947,18.74618,19.906080000000006,26.19781,8.0977,9.14343,10.85986,13.07516,19.23771,20.10136,26.430429999999998,7.69787,8.751149999999999,10.36403,12.48909,17.32179,19.00521,25.77665,7.60905,8.65115,10.27432,12.37023,17.117060000000002,18.48594,25.53804,7.508369999999997,8.56805,10.24404,12.28864,16.778660000000002,18.1155,25.39088000000001,7.4182,8.488700000000001,10.19759,12.22073,16.239069999999998,17.62436,25.27114,8.88894
Cable capacity allocated to SG,GW,4.55774,3.9908699999999997,3.7559,3.60798,3.1530500000000004,3.05415,2.66416,4.57121,4.0128,3.78429,3.63602,3.1296500000000003,3.05567,2.67442,4.57865,4.03606,3.8179800000000004,3.65907,3.1154599999999997,3.06888,2.68798,4.548,3.96715,3.72937,3.58212,3.19293,3.06934,2.65219,4.53941,3.94225,3.69803,3.55972,3.1889999999999996,3.0925,2.63816,4.5329700000000015,3.9159599999999997,3.6679,3.53941,3.19959,3.10797,2.6311,4.52196,3.89023,3.64281,3.51548,3.22959,3.13115,2.6248,4.3320799999999995
Lifetime PV,a,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Lifetime battery,a,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Lifetime cable,a,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Energy consumed in Singapore,GWh/a,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396,13461.59396
Efffective FLH,h,1.430.325,1.430.325,1.430.325,1.430.325,1.430.325,1.430.325,1.430.325,1271.4,1271.4,1271.4,1271.4,1271.4,1271.4,1271.4,1.112.475,1.112.475,1.112.475,1.112.475,1.112.475,1.112.475,1.112.475,1589.25,1589.25,1589.25,1589.25,1589.25,1589.25,1589.25,1.748.175,1.748.175,1.748.175,1.748.175,1.748.175,1.748.175,1.748.175,1907.1,1907.1,1907.1,1907.1,1907.1,1907.1,1907.1,2.066.025,2.066.025,2.066.025,2.066.025,2.066.025,2.066.025,2.066.025,1610.68
